epoch,train_loss
1,996.1463645170493
2,727.1472947500916
3,509.43465509801024
4,328.3412210427876
5,173.2785274774027
6,30.943261034198915
7,-87.75576623213063
8,-185.50233171540282
9,-266.50044439189725
10,-335.7734044447128
11,-388.93435197191707
12,-427.52011986836186
13,-462.7012645989847
14,-480.29471085473165
15,-504.5531083292036
16,-513.2975698442601
17,-528.8435100238206
18,-536.3797874532021
19,-536.031305862134
20,-549.5237281978258
21,-553.3200087557469
22,-559.2320284975617
23,-560.050060085142
24,-555.4201691064245
25,-574.7269406837187
26,-572.2275992192185
27,-570.3262190178259
28,-576.836824169037
29,-577.6012796105098
30,-582.8243116041236
31,-574.8449129539766
32,-593.0914806048753
33,-569.0343887556845
34,-601.5885851764475
35,-593.9738960184776
36,-592.2746297027003
37,-594.7418351813928
38,-590.6388683278424
39,-602.0922242512327
40,-595.7580442448923
41,-600.8130479824822
42,-598.113167118162
43,-608.9247874115575
44,-606.0107484667031
45,-596.8740823904334
46,-615.1035356989294
47,-605.7735575856939
48,-612.8616663560684
49,-611.1349961986419
50,-612.4384541542037
