epoch,train_loss
1,4.3433303979159925
2,3.7134793140232434
3,3.5159603819918277
4,3.3926627708396424
5,3.2288868569616063
6,3.1967079376361007
7,3.102310714055734
8,3.1076580138603
9,3.070773974664684
10,3.056267766937264
11,3.05432847250245
12,3.015372497250022
13,3.029469051594927
14,2.9770789063815624
15,2.9830511771539636
16,2.946044703727084
17,2.9569602560386983
18,2.939293524667398
19,2.912570116362338
20,2.91858518619273
21,2.943944434367263
22,2.9057986080519425
23,2.8878824743889036
24,2.9249262222603187
25,2.8679078972415883
26,2.865817463982588
27,2.9050894107645764
28,2.903027409747211
29,2.8777872077437605
30,2.860817610454966
31,2.858550998066534
32,2.853770531443899
33,2.8268397611849854
34,2.8359735826058174
35,2.8329866008717874
36,2.8296965134423426
37,2.813037362180031
38,2.7848947065979686
39,2.798350324000377
40,2.8274727987963506
41,2.8424722933565882
42,2.8286116636638194
43,2.801411230299773
44,2.8242206157905967
45,2.8107962294428077
46,2.7809244478180974
47,2.7911349620137895
48,2.832046722171149
49,2.797149028732324
50,2.7659664101946326
51,2.804205761916602
52,2.8108117747535584
53,2.814458654125108
54,2.8143703410112018
55,2.7932070528012094
56,2.7794406895698516
57,2.801759470627506
58,2.803467019661657
59,2.812030399659041
60,2.772174760349778
61,2.783618811859505
62,2.7900422479806424
63,2.756545293432817
64,2.7532405175252763
65,2.7931240195912848
66,2.763442140525338
67,2.776295010087841
68,2.792141118283465
69,2.756500905129447
70,2.791734331452262
71,2.7767018387312574
72,2.762922428564222
73,2.735891687336253
74,2.806102395438945
75,2.7950532963153902
76,2.766372069239871
77,2.7355596852709234
78,2.7483207147512863
79,2.75460381014769
80,2.7541463784317473
81,2.7636454658213454
82,2.776027059504218
83,2.7804821828789295
84,2.727642054115531
85,2.7681457521056316
86,2.7729828834279515
87,2.7744941113473
88,2.7828758295410987
89,2.7712124821219617
90,2.7491104513851563
91,2.7911956535219384
92,2.751389821836435
93,2.742775420136035
94,2.7107543642205725
95,2.723972084679837
96,2.760514279672586
97,2.778128948991995
98,2.7350501859111827
99,2.773056589464135
100,2.768500288920616
