epoch,train_loss
1,167.843761208215
2,68.19199407126095
3,50.780591639374364
4,41.4976428953061
5,38.52962789962541
6,34.95961729346562
7,33.60113528237414
8,32.45348751011179
9,31.57881842086564
10,29.522880033643514
11,28.965236643484154
12,27.816173689705984
13,26.911344141848307
14,26.769148043732145
15,26.187883974900885
16,25.747419280029817
17,25.710757948950665
18,24.588105150885674
19,24.851496092546213
20,24.39598137991769
21,24.876839865499466
22,23.772380296101193
23,23.895338784402878
24,23.561241920568797
25,23.119317195054563
26,22.947954259193274
27,23.202702552779144
28,22.446427937001307
29,23.370166044499573
30,22.12446174133561
31,22.333012558503953
32,21.876257481605514
33,22.480203685475818
34,21.69392014566515
35,23.4448178683771
36,21.87949123463905
37,21.262534485188628
38,21.480002191783523
39,21.216023953484573
40,21.680423307520496
41,21.524189265806285
42,20.71080278587748
43,21.666038240705216
44,20.592930645322493
45,20.40348502364494
46,20.760890545875533
47,21.07727487356678
48,19.940339588661438
49,20.018280259073418
50,20.52288665649479
