epoch,train_loss
1,5.491898958871105
2,5.029067339165124
3,4.968121102878025
4,4.9771773642314265
5,4.861442492206468
6,4.927674966071969
7,4.825538315752676
8,4.860528041431898
9,4.8536080848941925
10,4.854703553958234
11,4.8799681396626715
12,4.817355646634661
13,4.832188851543581
14,4.7240611922258
15,4.752209957220407
16,4.684308185633312
17,4.702346959856273
18,4.630781121345471
19,4.635782318074566
20,4.658547460905779
21,4.685010664117362
22,4.635523301197776
23,4.642891886518963
24,4.6730171283170865
25,4.589564686136713
26,4.5784164463787445
27,4.645883469312175
28,4.664396705276676
29,4.603654983074172
30,4.583622385443909
31,4.589364891621604
32,4.609425596082643
33,4.5559624700403925
34,4.572212952794805
35,4.5634789525318755
36,4.589964328671315
37,4.562665124437702
38,4.507380242922158
39,4.520489664982631
40,4.5798679846944585
41,4.603120950493477
42,4.557386643215537
43,4.538354185598491
44,4.574191136146659
45,4.5641939324864955
46,4.5076677336621644
47,4.511374681997401
48,4.595317199667379
49,4.5186736853137965
50,4.5032088132555295
51,4.554307550763779
52,4.547963362258635
53,4.5574739426692155
54,4.565023743775862
55,4.5219259570910735
56,4.507927033819878
57,4.5463102975888035
58,4.538576155710322
59,4.565975430931872
60,4.531666573685115
61,4.515108918965752
62,4.510472579043049
63,4.494374306979719
64,4.45914864031745
65,4.545930165980162
66,4.494062039008273
67,4.5293306466867165
68,4.549996674950443
69,4.49842016287704
70,4.547354346399368
71,4.541965372781001
72,4.504013991559238
73,4.451371268422873
74,4.585615141051156
75,4.574021642777457
76,4.502538935970396
77,4.478294572088002
78,4.491862456935809
79,4.479601502672696
80,4.473371761312871
81,4.521962087927088
82,4.519960108215113
83,4.544198373868776
84,4.456846176688351
85,4.509872856678993
86,4.520220744711504
87,4.548344976358068
88,4.546433584776515
89,4.491089241972356
90,4.487394259428418
91,4.564928422096187
92,4.498067798517915
93,4.491283436319721
94,4.426721454047954
95,4.474915459466133
96,4.525335378102911
97,4.535893413557935
98,4.473390639082456
99,4.541742151734163
100,4.51350787872953
