epoch,train_loss
1,988.0548436667111
2,663.5391317339086
3,392.397705078125
4,168.98394116562312
5,-15.283896983559451
6,-171.5746466793231
7,-302.6987633288288
8,-406.77484449699745
9,-492.555217946262
10,-559.1513176696387
11,-483.7543495601174
12,-600.3198122459688
13,-640.566981398983
14,-671.276766063308
15,-684.6811745975064
16,-703.3638564640526
17,-730.284086638168
18,-731.7096893375616
19,-741.8265552968104
20,-761.2089213226903
21,-772.759053439728
22,-748.1609832828741
23,-778.4887043316481
24,-793.4409907164096
25,-786.6562229311035
26,-804.2703104568188
27,-600.6118237957008
28,-761.5760157733583
29,-764.4765790276435
30,-786.1625987624309
31,-794.4244825936584
32,-792.4775145638472
33,-801.031331304294
34,-790.1784682934726
35,-802.5548906468633
36,-813.323632213861
37,-821.0084596158091
38,-810.5163029912692
39,-819.7669877497626
40,-821.7055001655367
41,-820.086747094258
42,-829.9357047985866
43,-820.8096803449619
44,-824.5918158102137
45,-167.3531099087648
46,-434.28404518892006
47,-515.7057421914042
48,-533.7403667913571
49,-546.2279869030788
50,-554.072356136623
